"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex"
"syn53176542","PZ100_rhythmPA.wav","1","audio/wav","233644","3485738","1702906134416","3485738","1702906134416","syn53176264","https://www.synapse.org/#!Synapse:syn53176542.1","fb807aa750264aae658b7dab0e2a22d3"
"syn53176801","CT046_rhythmTA.wav","1","audio/wav","233644","3485738","1702906725801","3485738","1702906725801","syn53176762","https://www.synapse.org/#!Synapse:syn53176801.1","b4969aa83f025e010669cfbe0acc7b81"
"syn53176820","CT061_rhythmTA.wav","1","audio/wav","234284","3485738","1702906762194","3485738","1702906762194","syn53176762","https://www.synapse.org/#!Synapse:syn53176820.1","53801b6204ad12b3e76233d990d01e28"
"syn53175734","CT004_phonationU.wav","1","audio/wav","234284","3485738","1702904628275","3485738","1702904628275","syn53175731","https://www.synapse.org/#!Synapse:syn53175734.1","178478f085ea78a24d1e466f15b58feb"
"syn53175657","PZ048_phonationO.wav","1","audio/wav","234924","3485738","1702904437208","3485738","1702904437208","syn53175548","https://www.synapse.org/#!Synapse:syn53175657.1","6d63579c3b91fb93e505285721e5e86c"
"syn53176922","PZ102_rhythmTA.wav","1","audio/wav","234924","3485738","1702907001621","3485738","1702907001621","syn53176762","https://www.synapse.org/#!Synapse:syn53176922.1","ae2bea3d7f5eaa0c7e7de4f2a4a4d9e6"
"syn53175551","CT010_phonationO.wav","1","audio/wav","235564","3485738","1702904235507","3485738","1702904235507","syn53175548","https://www.synapse.org/#!Synapse:syn53175551.1","812e0dd8f3639ab471794280f3f0b1a5"
"syn53176063","PZ036_rhythmKA.wav","1","audio/wav","235564","3485738","1702905506329","3485738","1702905506329","syn53175914","https://www.synapse.org/#!Synapse:syn53176063.1","b4cb7cff94c475b448b315376ed0829d"
"syn53175224","CT068_phonationE.wav","1","audio/wav","236204","3485738","1702903143128","3485738","1702903143128","syn53175169","https://www.synapse.org/#!Synapse:syn53175224.1","defb09f21db38ff2df3cde70e199932e"
"syn53175245","PZ019_phonationE.wav","1","audio/wav","236204","3485738","1702903185573","3485738","1702903185573","syn53175169","https://www.synapse.org/#!Synapse:syn53175245.1","0e41b5082eaeb11eb33aba3053f6283e"
"syn53175392","CT052_phonationI.wav","1","audio/wav","236204","3485738","1702903749378","3485738","1702903749378","syn53175354","https://www.synapse.org/#!Synapse:syn53175392.1","34148526ee0d310dfb8d68875a004ed6"
"syn53175687","PZ074_phonationO.wav","1","audio/wav","236204","3485738","1702904496997","3485738","1702904496997","syn53175548","https://www.synapse.org/#!Synapse:syn53175687.1","21f99a5c338b1d135c11a2c32788432a"
"syn53176500","PZ080_rhythmPA.wav","1","audio/wav","236204","3485738","1702906091597","3485738","1702906091597","syn53176264","https://www.synapse.org/#!Synapse:syn53176500.1","58279748017cbfc2d5977823c949f83c"
"syn53176793","CT040_rhythmTA.wav","1","audio/wav","236204","3485738","1702906713430","3485738","1702906713430","syn53176762","https://www.synapse.org/#!Synapse:syn53176793.1","09d3a2d56bbaac6196b79fe7af0b7d31"
"syn53175172","CT010_phonationE.wav","1","audio/wav","236844","3485738","1702903036457","3485738","1702903036457","syn53175169","https://www.synapse.org/#!Synapse:syn53175172.1","867864ebcdb0905884beb371284af017"
"syn53175423","PZ011_phonationI.wav","1","audio/wav","236844","3485738","1702903813845","3485738","1702903813845","syn53175354","https://www.synapse.org/#!Synapse:syn53175423.1","b190bd8a8c44ff188f1c83c8c08fc095"
"syn53175782","CT063_phonationU.wav","1","audio/wav","236844","3485738","1702904727332","3485738","1702904727332","syn53175731","https://www.synapse.org/#!Synapse:syn53175782.1","82140b900e2e2929313e13677da1a8ad"
"syn53175974","PZ006_rhythmKA.wav","1","audio/wav","236844","3485738","1702905441785","3485738","1702905441785","syn53175914","https://www.synapse.org/#!Synapse:syn53175974.1","60135bebab1a3121b19b6e33cd2faba3"
"syn53175103","PZ056_phonationA.wav","1","audio/wav","237484","3485738","1702902782084","3485738","1702902782084","syn53174987","https://www.synapse.org/#!Synapse:syn53175103.1","6b78c96d5c1ade382fcf4ebef5d1bccd"
"syn53175918","CT013_rhythmKA.wav","1","audio/wav","237484","3485738","1702905322832","3485738","1702905322832","syn53175914","https://www.synapse.org/#!Synapse:syn53175918.1","702353f3394ed8e1b20193e0b7c0fd74"
"syn53176204","PZ105_rhythmKA.wav","1","audio/wav","237484","3485738","1702905638934","3485738","1702905638934","syn53175914","https://www.synapse.org/#!Synapse:syn53176204.1","af48167d529f0f148c15d22cdf0ec568"
"syn53176810","CT053_rhythmTA.wav","1","audio/wav","237484","3485738","1702906742802","3485738","1702906742802","syn53176762","https://www.synapse.org/#!Synapse:syn53176810.1","d0fd2cc6a31bfa1c8c313c61f90f7cff"
"syn53175440","PZ025_phonationI.wav","1","audio/wav","238124","3485738","1702903847266","3485738","1702903847266","syn53175354","https://www.synapse.org/#!Synapse:syn53175440.1","7b440d1619b6ddef13305e26eba64ead"
"syn53175527","PZ110_phonationI.wav","1","audio/wav","238124","3485738","1702904023171","3485738","1702904023171","syn53175354","https://www.synapse.org/#!Synapse:syn53175527.1","1dc48b19f6d90c9a063a3645c3a98878"
"syn53175633","PZ022_phonationO.wav","1","audio/wav","238124","3485738","1702904390841","3485738","1702904390841","syn53175548","https://www.synapse.org/#!Synapse:syn53175633.1","837c9e08490ca4580476c8c31f550450"
"syn53175017","CT043_phonationA.wav","1","audio/wav","238764","3485738","1702902616765","3485738","1702902616765","syn53174987","https://www.synapse.org/#!Synapse:syn53175017.1","4e0f74437772d40f95e384e6ece2456e"
"syn53176284","CT033_rhythmPA.wav","1","audio/wav","238764","3485738","1702905855841","3485738","1702905855841","syn53176264","https://www.synapse.org/#!Synapse:syn53176284.1","c6c1bdcbfb1062ef7b70cbee81ed2364"
"syn53175621","PZ012_phonationO.wav","1","audio/wav","239404","3485738","1702904368075","3485738","1702904368075","syn53175548","https://www.synapse.org/#!Synapse:syn53175621.1","e4aa24f806db0d4243995d1183cd78cd"
"syn53175185","CT027_phonationE.wav","1","audio/wav","240044","3485738","1702903061249","3485738","1702903061249","syn53175169","https://www.synapse.org/#!Synapse:syn53175185.1","b3c509acb5b8dcb87af302ffed969d9e"
"syn53176870","PZ043_rhythmTA.wav","1","audio/wav","240044","3485738","1702906879127","3485738","1702906879127","syn53176762","https://www.synapse.org/#!Synapse:syn53176870.1","1e3746533c7e1f6231563dc7c68cf36b"
"syn53175867","PZ081_phonationU.wav","1","audio/wav","240684","3485738","1702904901595","3485738","1702904901595","syn53175731","https://www.synapse.org/#!Synapse:syn53175867.1","52dfd4e352540449f5af8f7660764dbe"
"syn53176111","PZ059_rhythmKA.wav","1","audio/wav","240684","3485738","1702905549475","3485738","1702905549475","syn53175914","https://www.synapse.org/#!Synapse:syn53176111.1","6cb822c94ce74d7b483eeebac758cdcc"
"syn53175171","CT004_phonationE.wav","1","audio/wav","241324","3485738","1702903034090","3485738","1702903034090","syn53175169","https://www.synapse.org/#!Synapse:syn53175171.1","6d623d6e470af86313804e86a912ab9c"
"syn53175256","PZ030_phonationE.wav","1","audio/wav","241324","3485738","1702903207805","3485738","1702903207805","syn53175169","https://www.synapse.org/#!Synapse:syn53175256.1","6b1119c159b6fb9cf71883be023bcaff"
"syn53176446","PZ052_rhythmPA.wav","1","audio/wav","241324","3485738","1702906035871","3485738","1702906035871","syn53176264","https://www.synapse.org/#!Synapse:syn53176446.1","40faf13a56d6e1c0c039f3f5d41fcb1a"
"syn53175471","PZ057_phonationI.wav","1","audio/wav","243244","3485738","1702903912669","3485738","1702903912669","syn53175354","https://www.synapse.org/#!Synapse:syn53175471.1","e094b22d5ded12d684b197cc92d6b6ef"
"syn53175947","CT049_rhythmKA.wav","1","audio/wav","243244","3485738","1702905384482","3485738","1702905384482","syn53175914","https://www.synapse.org/#!Synapse:syn53175947.1","216cd0ff6b2977d74ceb845e6d58ef94"
"syn53174993","CT010_phonationA.wav","1","audio/wav","244524","3485738","1702902568981","3485738","1702902568981","syn53174987","https://www.synapse.org/#!Synapse:syn53174993.1","23388e8ab8729fb2097d31b01c427426"
"syn53175846","PZ059_phonationU.wav","1","audio/wav","244524","3485738","1702904860080","3485738","1702904860080","syn53175731","https://www.synapse.org/#!Synapse:syn53175846.1","6b0deaa41591e3adaf0da976c4c90703"
"syn53175848","PZ061_phonationU.wav","1","audio/wav","244524","3485738","1702904864351","3485738","1702904864351","syn53175731","https://www.synapse.org/#!Synapse:syn53175848.1","bcbc101a582f24cff27d96c2f3acf635"
"syn53175869","PZ083_phonationU.wav","1","audio/wav","244524","3485738","1702904905836","3485738","1702904905836","syn53175731","https://www.synapse.org/#!Synapse:syn53175869.1","5b3f0bd08acd70a60a1401abe2179b02"
"syn53175051","PZ005_phonationA.wav","1","audio/wav","245164","3485738","1702902681878","3485738","1702902681878","syn53174987","https://www.synapse.org/#!Synapse:syn53175051.1","0cee4f7bdcd3a9f6e09d16556576502c"
"syn53175070","PZ022_phonationA.wav","1","audio/wav","245164","3485738","1702902719052","3485738","1702902719052","syn53174987","https://www.synapse.org/#!Synapse:syn53175070.1","fff602e36302c7df0ca1208836d439a9"
"syn53176044","PZ030_rhythmKA.wav","1","audio/wav","245164","3485738","1702905493422","3485738","1702905493422","syn53175914","https://www.synapse.org/#!Synapse:syn53176044.1","b643a96a15d4a6046f68da0512eb8436"
"syn53175057","PZ011_phonationA.wav","1","audio/wav","245804","3485738","1702902694795","3485738","1702902694795","syn53174987","https://www.synapse.org/#!Synapse:syn53175057.1","59b4a134a3a54437fdb4fa9712349ede"
"syn53175691","PZ080_phonationO.wav","1","audio/wav","245804","3485738","1702904503861","3485738","1702904503861","syn53175548","https://www.synapse.org/#!Synapse:syn53175691.1","3f6e372b97a438bdbc1da87d6876da90"
"syn53175705","PZ094_phonationO.wav","1","audio/wav","245804","3485738","1702904531161","3485738","1702904531161","syn53175548","https://www.synapse.org/#!Synapse:syn53175705.1","0dc863424f952dc8ad63bf27eac47865"
"syn53175800","PZ012_phonationU.wav","1","audio/wav","245804","3485738","1702904765665","3485738","1702904765665","syn53175731","https://www.synapse.org/#!Synapse:syn53175800.1","a6718469fb928a1a395c4f344a3cac01"
"syn53176040","PZ026_rhythmKA.wav","1","audio/wav","245804","3485738","1702905487053","3485738","1702905487053","syn53175914","https://www.synapse.org/#!Synapse:syn53176040.1","a2a39651f84af38c3736e1240197948d"
"syn53176783","CT033_rhythmTA.wav","1","audio/wav","245804","3485738","1702906701151","3485738","1702906701151","syn53176762","https://www.synapse.org/#!Synapse:syn53176783.1","e70ee6218dae1f1e085862f632dea79b"
"syn53175794","PZ006_phonationU.wav","1","audio/wav","246444","3485738","1702904752362","3485738","1702904752362","syn53175731","https://www.synapse.org/#!Synapse:syn53175794.1","45f22a2b1f6c40ef37f029ecafd48afb"
"syn53176572","PZ114_rhythmPA.wav","1","audio/wav","246444","3485738","1702906161659","3485738","1702906161659","syn53176264","https://www.synapse.org/#!Synapse:syn53176572.1","a750090575bbb22f4ad0e57bfd86b452"
"syn53175326","PZ102_phonationE.wav","1","audio/wav","247084","3485738","1702903350746","3485738","1702903350746","syn53175169","https://www.synapse.org/#!Synapse:syn53175326.1","debd492a98d52aa25f72a1bf0d991270"
"syn53175862","PZ074_phonationU.wav","1","audio/wav","247084","3485738","1702904892976","3485738","1702904892976","syn53175731","https://www.synapse.org/#!Synapse:syn53175862.1","8825c2c5ca9e8f204ca673c1b344ce43"
"syn53175234","PZ009_phonationE.wav","1","audio/wav","247724","3485738","1702903163009","3485738","1702903163009","syn53175169","https://www.synapse.org/#!Synapse:syn53175234.1","b3617ea902cf20ebf7114ae6853f94c7"
"syn53175355","CT001_phonationI.wav","1","audio/wav","248364","3485738","1702903669270","3485738","1702903669270","syn53175354","https://www.synapse.org/#!Synapse:syn53175355.1","fdcf7d828318dabd2d5dbe603b82ab0b"
"syn53175925","CT021_rhythmKA.wav","1","audio/wav","248364","3485738","1702905336515","3485738","1702905336515","syn53175914","https://www.synapse.org/#!Synapse:syn53175925.1","00b080918b4df91ae48d7fe1da8ac913"
"syn53176497","PZ077_rhythmPA.wav","1","audio/wav","248364","3485738","1702906087457","3485738","1702906087457","syn53176264","https://www.synapse.org/#!Synapse:syn53176497.1","32d674439ea97eca558d23e324ff5a35"
"syn53175613","PZ006_phonationO.wav","1","audio/wav","249004","3485738","1702904355374","3485738","1702904355374","syn53175548","https://www.synapse.org/#!Synapse:syn53175613.1","54be1545156ce4cb6f068a1a6683f303"
"syn53175896","PZ111_phonationU.wav","1","audio/wav","249004","3485738","1702904961645","3485738","1702904961645","syn53175731","https://www.synapse.org/#!Synapse:syn53175896.1","d5ccc0c91a8cc58d74d4a76574beafe7"
